"","7.buy.reason.other"
"70","Kufanya mzunguko wa pesa yake."
"71","Ananunua kwa sababu ya kwenda kupeleka mahari ya kijana wake anayetaka kuoa."
"72","Anawauzia na wafanyabiashara wengine wa mjini Njombe."
"73","Kuuza ili kujipatia kipato."
"74","Anakwenda kutekeleza masuala ya kimila"
"75","Nanunua kwa ajili ya mahali"
"76","Naenda naye kwa mganga nina matatizo ya kifamilia"
"77","Huyu kapewa tu mifugo aswage"
"78","Amepata wageni nyumbani"
"79","Kujipatia kipato"
"80","Kwenda kuuza kwa wafanyabiashara wengine"
"81","Anawauza ."
"82","Kujipatia pesa."
"83","Anapeleka kwenye matambiko"
"84","Kuongeza idadi ya mifugo ambayo ilipungua baada ya kuuza  msimu wa kilimo."
"85","Kuuza supu na nyama choma mnadani"
"86","Anachinja kwaajili ya kupika supu na nyama choma"
"87","Kuchinja na kuchoma nyama wengine"
"88","Kupika supu ya mbuzi na nyama kukaanga."
"89","Kwaajili ya kupika supu ya mbuzi na na nyama choma"
"90","Nina sherehe"
"91","Ananunua na kuwauza hapo hapo mnadani"
"92","Hanunui bali anadalalia bei"
"93","Mama lishe"
"94","Nyama choma hapo mnadani"
"95","Kuchinja kwa ajili ya nyama choma"
"96","Kununua na kuuza mifugo mnadani"
"97","Anafanya biashara ya nyama ya mbuzi"
"98","Sababu ya msingi kununua ni ili niwauze tena kwa bei nzuri kwa wanunuzi wengine."
"99","Kwaajili ya kupika supu ya mbuzi na mboga ya vyakula mgahawani"
"100","Kwa ajili ya kupika supu ya mbuzi na kuchoma nyama ya mbuzi"
"101","Anachinja mbuzi  kwaajili ya kupika supu na mboga mnadani"
"102","Yeye ni mama ntilie, anapika chakula kijiji cha Njiwa Kati. Amenunua mbuzi ili aweze kuchinjwa kwaajili ya mboga."
"103","Anachinja kwaajili ya nyama choma na kupika supu ya mbuzi"
"104","Kuchinja na kuuza supu na nyama choma"
"105","Kuwadalalia wafanyabiashara"
"106","Kudalalia mifugo"
"107","Kwa ajili ya biashara ndio anayoitegemea kwa kipato Cha ziada"
"108","Kuwauza tena ili aongeze kipato"
"109","Kupeleka kwenye shughuli za kimila"
"110","Zawadi kwa rafiki yangu"
"111","Amewanunua kijijini amekuja kuwauza hapa mnadani"
"112","Anauza ili kujipatia kipato."
"113","Kutambikia mizimu"
"114","Yeye hanunui bali anadalalia bei kati ya muuzaji na mnunuzi"
"115","Hanunui wala kuuza anachofanya ni kunadi mbuzi, kondoo tu"
"116","Kwa ajili ya kuuza supu na chakula (mama lishe)"
"117","Yeye ni mswagaji sio mnunuzi."
"118","Kwa ajili ya wageni"
