"","3.sell.reason.other"
"66","Nataka kutoa mifugo wazee ninunue wadogo wadogo"
"67","Anakwenda kuchinja kwa sababu ya biashara."
"68","Kupata mahitaji yake madogo madogo na ya familia."
"69","Leo amekuja kununua sio kuuza"
"70","Kufanya mzunguko wa hela yake"
"71","Nauza ili nije kununua  majike ya mbuzi yanayoanza kuzaa."
"72","Amewanunua kwa ajili ya kuwasafirisha"
"73","Hauzi ananunua kwa ajili ya biashara"
"74","Anauza mbuzi na kondoo ili kutengeneza kipato"
"75","Kupata fedha kwa ajili ya kujiburudisha kidogo kidogo"
"76","Mimi siuzi nanunua tuu"
"77","Ananunua na kuuza mifugo Kuongeza kipato"
"78","Hauzi, Ananunua mbuzi"
"79","Hauzi Ananunua na kusafirisha."
"80","Mahitaji mbali mbali ya kifamilia."
"81","Kwa sababu ya kutatua matatizo ya kifamilia"
"82","Hauzi mbuzi/kondoo amekuja kununua"
"83","Amevunjika mguu"
"84","Kupata fedha kwa ajili ya kusaidia shambani"
"85","Amekuja kununua mbuzi na kondoo kwa ajili ya biashara."
"86","Kununua chakula kwa sababu sijapata mazao ya kutosha mwaka huu."
"87","Kulipa madeni yake"
"88","Nanunua kwa ajili ya biashara"
"89","Yeye amekuja mnadani kununua akauze Mbeya"
"90","Kutafuta kipato"
"91","Hauzi isipokuwa amekuja kununua mbuzi."
"92","Hauzi, ananunua."
"93","Kuongeza kipato cha familia"
"94","Kupata pesa kwa ajili ya kumsaidia shughuli za uvunaji wa mpunga shambani na kununulia magunia"
"95","Kununua mifugo mnadani na kuwauzia wengine"
"96","Kuwanunulia watoto mahitaji ya shule"
"97","Kununua na kuuza mifugo mnadani"
"98","Kupata fedha kwa ajili ya kusaidia uvunaji mpunga"
"99","Mtoto amefaulu anatakiwa kwenda kidato cha tano"
"100","Kulangua mifugo majumbani kwa wafugaji Kisha kuja kuuza mnadani"
"101","Mahitaji ya familia kwa ujumla."
"102","Hauzi ila ananunua kondoo kwa ajili ya biashara"
"103","Hauzi, amekuja kununua"
"104","Anafanya biashara hii ili Kuongeza kipato chake"
"105","Anauza ili anunue mahitaji ya nyumbani."
"106","Hauzi mbuzi ila ananunua kwa ajili ya mboga na supu"
"107","Hauzi mbuzi ila ananunua mbuzi kwaajili ya kupika mboga na supu"
"108","Kuwanunulia maftari watoto wa shule"
"109","Kudalalia mifugo kwa wafanyabiashara minadani"
"110","Gharama za mtoto shule kidato cha tano"
"111","Kupata pesa kwa ajili ya kulipa vibalua wa kufyeka mpunga"
"112","Kudalalia mifugo kwa wanunuzi"
"113","Biashara ya mama lishe"
"114","Hauzi ananunua"
"115","Anauza ili akanunue mahitaji ya familia"
"116","Mahitaji yake mbalimbali"
"117","Amewanunua hapa mnadani"
"118","Kujipatia kipato"
"119","Hauzi, ananunua"
"120","Kununua mahitaji ya nyumbani"
"121","Ananunua kwa ajili ya biashara."
"122","Amewanunua"
"123","Amekuja kununua mbuzi"
"124","Kujipatia pesa"
"125","Anauza mbuzi ili anunue mahitaji ya familia gulioni"
"126","Anadalalia bei kati ya mnunuzi na muuzaji"
"127","Anadalalia mifugo. Mbuzi sio zake yeye anadalalia tu"
"128","Yeye ni mswagaji tu wa mifugo"
"129","Biashara ya bucha"
"130","Bucha"
